"month","avg.red","q1.red","q3.red","IQR"
3,-31.8410935979528,-59.1614832967183,-3.31411607475222,55.8473672219661
4,-64.1535713435611,-72.7828375375576,-55.5529614809462,17.2298760566114
5,-50.1853706210899,-61.7508790567445,-39.4942241641868,22.2566548925577
6,-31.2592813282488,-43.49681619637,-19.5506006610257,23.9462155353443
