"month","G1","G2","G3","G4"
3,-41.097880558609,-36.3956542629947,-29.2068330007214,-23.5141136882857
4,-79.7548383296251,-71.0669439374088,-60.970631901498,-49.2499597127846
5,-67.1920615351692,-58.2341681221976,-46.1939991366791,-34.0273956371424
6,-47.2095938479721,-38.1634722339025,-26.8648389933954,-18.001955200193
