"CLU","INC_20","INC_80","INC_MED","NO.EDU.PER","NO.ENG.SPEAK.PER","SG_AB","SG_C1","SG_C2","SG_DE","T.03","T.B03","res.den","V.00","V.01","V.02","V.04","hospital.per","park.per","market.per","part_time","full_time","self_employed","H.G","H.F","H.B","E.WH","E.MIX","E.IN","E.PA","E.BA","E.CH","E.O.A","E.AF","E.CAR","E.O.B","E.O","cum.infection.rates","cum.mortality.rates"
"G1",0.020111336559955,0.0724771125755734,0.0243865157780841,0.0450047435010398,0.121175144048746,0.0720400317802051,0.0387365418836527,0.0472250931739445,0.0384045834498814,0.0946243402868225,0.148930167066789,0.0378805937280417,0.191511702498576,0.044254282812348,0.120451909991817,0.0157362527567357,0.201040670120928,10.9464045345075,0,0.0268754798098359,0.0382823661515638,0.0192626567646482,0.0243981518830497,0.0181108736802458,0.0100223658427558,0.201131652504605,0.022303406370122,0.0478148801119943,0.0217255950545073,0.0505764496844973,0.00869086703789818,0.0252245006762234,0.0368899994654566,0.0280272889122361,0.0129310163335953,0.0246229889669955,19.6536992225621,1.87357840698365
"G2",0.0247314533859462,0.0721590514125628,0.0168728543101903,0.0446666514853371,0.0690017960910654,0.0659031638412318,0.025578996907382,0.0379228581502048,0.035468516882193,0.0594831657936891,0.0702683993733272,0.0143195666703652,0.08255188785988,0.0274879632317639,0.0658530902649711,0.0094804392939798,0.112866727477721,10.3226810743479,0,0.0134019098183077,0.0430341981774023,0.0203977069445096,0.0293638818085676,0.0189822237137107,0.0111010589347893,0.140411806026446,0.013048884949109,0.0373851350067002,0.0254977107552248,0.00758837100414159,0.00488468295719488,0.0210526951333349,0.0311398285688793,0.0151812194517619,0.00762196838173303,0.0104110974049672,12.1412281669009,1.4377534111206
"G3",0.0218262262744759,0.0512878986480873,0.0153222635533567,0.0439072401205479,0.0365796179865303,0.0552093853768711,0.0250406017676312,0.0321092752704519,0.0424503784582167,0.0535033384801349,0.0574845689670554,0.00927727162417457,0.0726358638175118,0.0205624031085421,0.0541255912927676,0.0088405314125729,0.15703901027892,11.8212437009129,0,0.01033718407317,0.0348036390731572,0.0248345795040139,0.0269557702735405,0.0150107954605355,0.013403605284024,0.0841578876823882,0.00930721498955537,0.0264018258514676,0.0253982140963968,0.010520732714083,0.00326051620904158,0.00734392497358998,0.00859077420609174,0.00836305941716462,0.00283918086468831,0.00456314990646739,7.03753168693253,1.25987355593433
"G4",0.0253684781243358,0.0389470473318118,0.0172497219272544,0.0472605047245021,0.0472742195190599,0.0467153037260624,0.0305917309631091,0.0332661969433434,0.046985516366968,0.0574282063933036,0.0605274296791964,0.00950586630493945,0.0664979246700026,0.0181127243234008,0.0475559237652187,0.00593415596083625,0.154190301908242,10.5429375046683,0,0.0115386914662363,0.0358781032349021,0.0195668535647739,0.0293395054246725,0.0159037103752645,0.0143069251241696,0.0886745062222374,0.010283361787831,0.0393799864475385,0.0396892154810341,0.00557842583499178,0.00603225780584383,0.00727110570748329,0.0096667463254147,0.00516556336852679,0.00264610899144868,0.00501957349054568,8.57196494062142,0.807732623714092
