"CLU","INC_20","INC_80","INC_MED","NO.EDU.PER","NO.ENG.SPEAK.PER","SG_AB","SG_C1","SG_C2","SG_DE","T.03","T.B03","res.den","V.00","V.01","V.02","V.04","hospital.per","park.per","market.per","part_time","full_time","self_employed","H.G","H.F","H.B","E.WH","E.MIX","E.IN","E.PA","E.BA","E.CH","E.O.A","E.AF","E.CAR","E.O.B","E.O","cum.infection.rates","cum.mortality.rates"
"G1",0.171355356209646,0.241994143077463,0.205351763741432,0.189401749425532,0.110569108605498,0.370415721077996,0.230426622051388,0.178429653786788,0.138370277890243,0.17983424180872,0.564576488344025,0.0281469223766925,0.277194923902238,0.396611639903028,0.243632755479147,0.0232556696875824,0.329474826803632,25.4958088142717,0,0.128392429711606,0.391269270875017,0.125012174412505,0.832571137471651,0.119839267255845,0.0475895952725035,0.820863465157625,0.0274310998939802,0.0252211501919283,0.010598440629151,0.0159173948629151,0.0087134010141128,0.0204159588911638,0.0267476251340416,0.0178727521003067,0.00882157920480307,0.0173971329199719,24.6039618263341,1.8334240867216
"G2",0.164343901201235,0.233714805657807,0.219253411237822,0.205693921411818,0.0671365838973717,0.349361239804622,0.243161872147675,0.197418431429567,0.136387856318918,0.145697474348271,0.626446976725247,0.0105915425156704,0.191815074078308,0.420684666431554,0.290596215414918,0.026868177546586,0.270203092388554,22.8737469882033,0,0.138074266658063,0.400352626547425,0.11315287243722,0.828659773635396,0.124763237349038,0.0465769890155665,0.878166679551899,0.0204909797466343,0.024503207210966,0.0119811645564292,0.00391494613976196,0.00596123508115048,0.0168342515852796,0.0180647289276137,0.00822400354795863,0.00398235258154523,0.00787645107076234,15.7242764972046,1.24747732604881
"G3",0.17028807887975,0.172487476967432,0.228550657167344,0.235449026888198,0.0406457761526812,0.304372549994753,0.230874818031605,0.226924730205243,0.164510488628341,0.153473689500974,0.645297027272561,0.00866611484442599,0.207537521895163,0.424418136449223,0.28146818505522,0.0228000145014874,0.289887652330731,22.8898615776902,0,0.146312415014722,0.389446777115222,0.0966943648437208,0.808313138579788,0.136762138027493,0.0549247233927185,0.927148255384158,0.0148841648824107,0.0152439312084402,0.0113301992135986,0.00429602798045985,0.00413211135816622,0.00709908340256122,0.00581908384684611,0.0044748916564195,0.00161323153758612,0.00395901952935357,11.2932665628792,0.925876447536218
"G4",0.186190585789126,0.14422819848259,0.218794359063619,0.24780401618711,0.0616845322398287,0.272298071423919,0.208389526260758,0.230940800065783,0.189905237342969,0.181650654039883,0.597963045189652,0.0130873152558668,0.274370346793188,0.436001540487248,0.229201832218527,0.0144429592855586,0.261216206949511,21.6141692710181,0,0.142729538876882,0.377085036077845,0.080481492445987,0.798461760591374,0.139849623076186,0.0616886163324401,0.900115990297081,0.0170851269375241,0.0197802180396795,0.0227561674804573,0.004277899879525,0.00670613712859321,0.00937632667218691,0.00835740226484553,0.00382617402961865,0.00173214219295936,0.00598641507752889,9.49280264721499,0.606670796706959
